seed,d_n,arm,dim,K,H_hat_id_bits,H_hat_shift_bits,flops_train,flops_infer,wall_train_s,wall_infer_s,grad_inf_norm,halvings
0,0,X,4,9,0.663011074672521,0.665075041698877,123754450,3000000,0.1198300649994053,0.014935678002075292,9.59044120978066e-18,0
0,0,S,4,9,0.663011074672521,0.665075041698877,123754450,3000000,0.11699832598969806,0.012510323998867534,9.59044120978066e-18,0
0,8,X,12,25,0.6692366249346494,0.6651755408991614,553800575,6200000,0.14921983500244096,0.014596925000660121,5.734837525812824e-18,0
0,8,S,4,9,0.6691175528360105,0.6640739517689531,123754450,3000000,0.11719835799885914,0.012472420014091767,7.396971637888069e-18,0
0,8,N,8,17,0.6820432562381933,2.345503854184645,298769125,4600000,0.13078876600775402,0.013319720004801638,2.5805719005939315e-18,0
0,64,X,68,137,0.667789888596374,0.6722678900944891,12529589125,28600000,0.4167384320026031,0.06027450600231532,2.2916880052104022e-17,0
0,64,S,4,9,0.6667027308801384,0.6643495375338647,123754450,3000000,0.11619121799594723,0.012654419988393784,1.1100178176587944e-17,0
0,64,N,64,129,0.6692024813019458,2.419615292145982,11153650450,27000000,0.33555710400105454,0.022515197008033283,5.363607061156968e-18,0
0,256,X,260,521,0.670583257016092,0.6757068592945746,172905211525,105400000,1.9911345679865917,0.20134140900336206,1.5703358876106738e-17,0
0,256,S,4,9,0.6666385133732976,0.6705554713205738,123754450,3000000,0.0663566580042243,0.007352062995778397,1.2669710375515461e-17,0
0,256,N,256,513,0.6708830169433155,2.430366837423491,167676639250,103800000,1.941179215995362,0.1980502909864299,4.840155020318165e-18,0
1,0,X,4,9,0.6685162899912045,0.6652547748521734,123754450,3000000,0.06489353299548384,0.007289853994734585,4.343697450083359e-18,0
1,0,S,4,9,0.6685162899912045,0.6652547748521734,123754450,3000000,0.06400412099901587,0.007348782004555687,4.343697450083359e-18,0
1,8,X,12,25,0.6623218488079055,0.673871487397663,553800575,6200000,0.07753916901128832,0.009135382002568804,6.8810557811162956e-18,0
1,8,S,4,9,0.662075880436867,0.6694536267550432,123754450,3000000,0.0639454000047408,0.007215278004878201,8.773635096470272e-18,0
1,8,N,8,17,0.6751427210425256,2.365066596184635,298769125,4600000,0.06965228800254408,0.008084817003691569,2.1271739409286095e-18,0
1,64,X,68,137,0.6666748353067417,0.6758630392720447,12529589125,28600000,0.239530046004802,0.0576039339939598,1.917161965106195e-17,0
1,64,S,4,9,0.6660362415744047,0.6694055713338533,123754450,3000000,0.06428343399602454,0.007214718003524467,1.0378689739623267e-17,0
1,64,N,64,129,0.6679731412561926,2.376953977028568,11153650450,27000000,0.21166873100446537,0.01862134100520052,3.810399633509703e-18,0
1,256,X,260,521,0.6731167593736519,0.6929983702939807,172905211525,105400000,1.9699074309901334,0.1856316780031193,1.2727094944836773e-17,0
1,256,S,4,9,0.6692253468087014,0.6677366146452847,123754450,3000000,0.06509609300701413,0.007190685995738022,1.403073019435306e-17,0
1,256,N,256,513,0.6734447462460668,2.4322908298775583,167676639250,103800000,1.9801261380052892,0.19083667499944568,5.907860367956007e-18,0
2,0,X,4,9,0.6666358563314279,0.6689668435349676,123754450,3000000,0.06479005899745971,0.00837448200036306,1.1145975858382555e-17,0
2,0,S,4,9,0.6666358563314279,0.6689668435349676,123754450,3000000,0.06378327099082526,0.007411262995447032,1.1145975858382555e-17,0
2,8,X,12,25,0.6687681722528201,0.6659408250840387,553800575,6200000,0.07702044499455951,0.011551296003744937,7.29153588828961e-18,0
2,8,S,4,9,0.6687176271772208,0.6659146539633679,123754450,3000000,0.06458559400925878,0.007375726010650396,8.254408862887061e-18,0
2,8,N,8,17,0.681488354280079,2.339108366581835,298769125,4600000,0.06926887699228246,0.008005569005035795,2.428121615433962e-18,0
2,64,X,68,137,0.6702650019415379,0.6774845746766585,12529589125,28600000,0.23412944500159938,0.06031295300635975,3.559190051356177e-18,0
2,64,S,4,9,0.6690532576344094,0.6707753251763965,123754450,3000000,0.06349835700530093,0.007065662008244544,9.921333307136572e-18,0
2,64,N,64,129,0.6718060886195427,2.4184437789011963,11153650450,27000000,0.2132941109884996,0.056628921010997146,1.6037920553455088e-18,0
2,256,X,260,521,0.6690721525074985,0.7001476056747183,172905211525,105400000,1.9745498420088552,0.20206825599598233,7.779821792951793e-18,0
2,256,S,4,9,0.6649696333307262,0.6672868985926637,123754450,3000000,0.06466775400622282,0.0071731820062268525,8.602178753461506e-18,0
2,256,N,256,513,0.6695838432433429,2.4234207995100654,167676639250,103800000,1.9732865340047283,0.19227178298751824,6.0406729782460094e-18,0
