arm,rho,seed,shift,abs_ce_bias_bits_disclosed,measurement,value_bits,quantity,distribution,fit_distribution,not_an_entropy,licensed,license_ref,definition,n_fit,n_eval,k_folds,se_bits,n_unseen_labels
naive,0.7,0,decorrelate,0.3707726255084636,CEhat_ID,0.3099761637729881,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,0,decorrelate,,CE_Q_frozen,0.6872644565873592,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,0,decorrelate,0.3707726255084636,CEhat_Q_refit,0.5532173543401264,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.009272976809302535,
naive,0.7,0,decorrelate,,delta_info,0.24324119056713833,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,0,decorrelate,,delta_transfer,0.13404710224723282,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,0,anticorrelate,0.3707726255084636,CEhat_ID,0.3099761637729881,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,0,anticorrelate,,CE_Q_frozen,0.5637282210381978,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,0,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.4808749956618478,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.012584149010482286,
naive,0.7,0,anticorrelate,,delta_info,0.17089883188885974,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,0,anticorrelate,,delta_transfer,0.08285322537634993,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,1,decorrelate,0.3707726255084636,CEhat_ID,0.32969682327521105,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,1,decorrelate,,CE_Q_frozen,0.6792359046954423,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,1,decorrelate,0.3707726255084636,CEhat_Q_refit,0.5815127896690833,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.010200985804666935,
naive,0.7,1,decorrelate,,delta_info,0.2518159663938722,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,1,decorrelate,,delta_transfer,0.097723115026359,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,1,anticorrelate,0.3707726255084636,CEhat_ID,0.32969682327521105,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,1,anticorrelate,,CE_Q_frozen,0.5824110339931897,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,1,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.5223387061629207,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.01591490054704959,
naive,0.7,1,anticorrelate,,delta_info,0.19264188288770961,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,1,anticorrelate,,delta_transfer,0.06007232783026906,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,2,decorrelate,0.3707726255084636,CEhat_ID,0.294755767716043,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,2,decorrelate,,CE_Q_frozen,0.6412113733578645,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,2,decorrelate,0.3707726255084636,CEhat_Q_refit,0.5566009699175711,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.024122427006594976,
naive,0.7,2,decorrelate,,delta_info,0.2618452022015281,delta_info,Q-vs-P,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)",CEhat_Q_refit - CEhat_ID; estimates CE*_A(Q) - CE*_A(P) (information-accessibility change under shift). Licensed as a CE* DIFFERENCE by the §5.9 amended selftest; the absolute operands are raw_heldout_CE (common-mode bias≈0.371 bits cancels).,,,,,
naive,0.7,2,decorrelate,,delta_transfer,0.08461040344029336,delta_transfer,Q,,True,True,"expB-masking-real-v1 §5.1 planted-posterior PASS (CE*-DIFFERENCE recovery; absolutes are raw_heldout_CE, bias≈0.371 bits disclosed)","CE_Q_frozen - CEhat_Q_refit; transfer risk of the frozen P-fit interface (deployment property; never an entropy, never 'information loss')",,,,,
naive,0.7,2,anticorrelate,0.3707726255084636,CEhat_ID,0.294755767716043,raw_heldout_CE,P,P,True,False,,,5000,5000,,,
naive,0.7,2,anticorrelate,,CE_Q_frozen,0.5127667952954081,CE_Q(r_P),Q,P,True,True,definitional: the empirical CE of the frozen P-fit readout under Q estimates quantity (4) directly (sampling error only),,5000,5000,,,0
naive,0.7,2,anticorrelate,0.3707726255084636,CEhat_Q_refit,0.4881686807434241,raw_heldout_CE,Q,Q,True,False,,,,5000,5,0.017695086540523024,
